Title,Region,Type,Rating,Rank
三毛从军记,中国大陆,"剧情,儿童,喜剧,战争",8.6,365
东方快车谋杀案,英国,"剧情,犯罪,悬疑",8.6,366
风声,中国大陆,"犯罪,剧情,惊悚,战争",8.4,367
寻子遇仙记,美国,"剧情,喜剧,家庭",9.2,368
撞车,"美国,德国,澳大利亚","犯罪,剧情",8.5,369
爱乐之城,美国,"剧情,爱情,歌舞",8.4,370
大决战之淮海战役,中国大陆,"剧情,历史,战争",9.1,371
无人区,中国大陆,"剧情,犯罪,西部",8.4,372
暖暖内含光,美国,"剧情,爱情,科幻",8.5,373
隐入尘烟,中国大陆,剧情,8.4,374
卧虎藏龙,"中国台湾,中国香港,美国,中国大陆","剧情,爱情,武侠",8.4,375
英国病人,"美国,英国","爱情,剧情,战争",8.5,376
启示,美国,"动作,冒险,剧情",8.7,377
月球,"英国,美国","剧情,科幻,悬疑",8.5,378
麻将,中国台湾,"喜剧,剧情",8.7,379
亲爱的,"中国大陆,中国香港","剧情,家庭",8.4,380
再见列宁,德国,"剧情,喜剧",8.8,381
中央车站,"巴西,法国",剧情,8.7,382
蓝色大门,"中国台湾,法国","剧情,爱情,同性",8.4,383
极速车王,美国,"剧情,传记,运动",8.5,384
热天午后,美国,"剧情,喜剧,犯罪",8.7,385
敦刻尔克,"英国,法国,美国,荷兰","剧情,历史,战争",8.4,386
十二公民,中国大陆,剧情,8.4,387
大空头,美国,"剧情,传记",8.5,388
野草莓,瑞典,"剧情,爱情,家庭",8.8,389
一级恐惧,美国,"剧情,犯罪,悬疑",8.5,390
用心棒,日本,"剧情,动作,惊悚",9.0,391
健听女孩,"美国,法国,加拿大","剧情,音乐",8.6,392
黑炮事件,中国大陆,"剧情,喜剧",8.7,393
蓝宇,"中国大陆,中国香港","剧情,爱情,同性",8.4,394
岁月的童话,日本,"剧情,爱情,动画",8.6,395
太阳照常升起,中国大陆,"剧情,奇幻",8.4,396
自闭历程,美国,"剧情,传记",8.9,397
碧海蓝天,"法国,意大利","剧情,爱情",8.6,398
桃姐,中国香港,"剧情,家庭",8.4,399
海盗电台,"英国,德国,法国","剧情,喜剧,音乐",8.5,400
